Nombre del artículo,Nombre de la revista,Año de publicación,DOI,Número de citas
Destruction and detection of chemical warfare agents,Chemical reviews,2011,10.4324/9781003110408-6,0
Preface: biomimetic inorganic chemistry,Chemical Reviews,2004,10.1021/cr0206364,1
Coordination chemistry of lithium ion: a crystal and molecular structure review,Chemical reviews,1991,10.1002/chin.199139272,1
Introduction to metal–organic frameworks,Chemical reviews,2012,10.1002/9781119460237.ch1,0
Recent advances in the chemistry of unsaturated lactones,Chemical Reviews,1976,10.1002/chin.197706178,1
"Coordination chemistry of thioethers, selenoethers, and telluroethers in transition-metal complexes",Chemical Reviews,1981,10.1021/cr00044a003,1
Recent advances in the chemistry of carborane metal complexes incorporating d-and f-block elements,Chemical reviews,1993,10.1002/chin.199331295,1
Chemical inhibitors of protein kinases,Chemical reviews,2001,10.1021/acschembio.6b01083.s001,0
Polyoxometalates in medicine,Chemical Reviews,1998,10.26599/pom.2022.9140014,1
